Gaia DR3 2402031280004432512,11.426,41.172894158310996,-58.15189038,B,D,7923.930269413629,63,69,52,37,22,4,3
Gaia DR3 4503946871216360960,10.92,41.89835932,6.658997453318066,B,D,132.2978819109106,-5.56,49,34,23,22,31,44
Gaia DR3 4311547145416965888,10.7,41.918894676924396,4.670746000853295,B,D,3617.945007,63.20677,50,34,22,21,30,43
Gaia DR3 4504029815620477568,11.33,42.035884952727734,6.478396268,B,D,414.97219686281016,-15.15,49,34,23,22,31,44
Gaia DR3 6914737371916009856,11.25,42.73030837707496,-27.78667832,B,D,493.51033904160295,-32.23,60,44,29,14,10,22
Gaia DR3 4308397766146032384,11.43,45.12269466224297,-3.730702596,B,D,540.1901469,-58.96,54,38,25,20,25,38
Gaia DR3 4507272447200161920,11.08,45.23387974773091,7.101342780266374,B,D,4807.692307692308,33.222099,51,35,24,23,32,45
Gaia DR3 4313957652868238720,12.5,45.67311625959467,2.4162807033941003,B,D,224.08461435037873,-25.23,52,36,25,22,29,42
Gaia DR3 4250340562872487552,11.18,48.41485077497133,-14.26793747,B,D,832.9862557267805,-40.79,59,42,28,19,18,31
Gaia DR3 4319538017937595264,11.93,48.63942316239578,-0.7701843,B,D,366.07240912252445,-135.1,55,39,26,23,27,40
Gaia DR3 4518242205986935040,11.77,49.25580297635944,8.564004918218359,B,D,553.8018497,-10.15,52,36,27,25,33,46
Gaia DR3 2618909360172318336,16.1,50.52310405155694,-47.46389774,B,E,13679.890560875512,-83,69,52,37,21,4,10
Gaia DR3 4305378812121638784,12.9,52.083582115948175,-6.51644898,B,D,993.9369843951894,-18.7,59,42,29,23,23,37
Gaia DR3 1277715082224184832,16.52,52.41755469398034,56.631734098281385,B,E,15432.098765432098,-141,33,36,38,49,66,80
Gaia DR3 4535960694119851008,11.95,54.58889605239131,13.00703160057603,B,D,564.8121999435187,-33.91,54,38,31,31,37,50
Gaia DR3 1462103697597043200,14.12,54.59288212938757,82.15733857442358,B,E,4484.304932735426,-24,27,34,46,62,79,94
Gaia DR3 1330941718569616256,15.9,59.10168053548891,43.498003978511406,B,E,8291.873963515754,-238.3,42,40,41,44,60,74
Gaia DR3 2021163235335129472,11.9,59.79889992825182,1.4793580938102415,B,D,234.41162681669013,-116.35,61,44,33,30,30,42
Gaia DR3 1462363251061345408,16.47,60.313198995890524,82.90052907496367,B,E,8547.008547008547,-138,27,34,47,62,80,94
Gaia DR3 1378795350828763520,16.3,61.19357682242165,46.868967402847495,B,E,8771.929824561403,-25.7,42,42,43,47,62,77
Gaia DR3 2038347743048815872,10.57,62.31646948947746,7.042024736970093,B,D,1617.3378618793465,46.6,61,44,35,34,34,47
