LS V +32 17,11.84,179.2595263,5.599993028,B,D,821.4227041,-28.25,
HD 249683,10.31,183.6888995,1.096347837,B,D,5350.454789,59.33,
HD 248878,9.8,183.3319461,0.207372096,B,D,297.9293907,-22,
HD 249498,9.91,182.2308524,1.728627111,B,D,1190.47619,4,
HD 248666,9.85,182.4780829,0.453794416,B,D,1616.553508,-7.25,
HD 248290,9.43,181.7311607,0.432369504,B,D,1258.970162,20,
HD 248411,8.95,181.2890431,0.834752527,B,D,633.1919205,-2,
LS V +33 3,11.86,167.7417729,-8.683140751,B,D,270.0440172,15.8,
HD 276434,10.83,161.0712688,-5.19386343,B,D,1555.451859,-1.48154,
LS V +41 6,12.24,160.4510428,-4.987629649,B,D,476.0997905,-23.64,
LS V +27 1,11.81,173.2339199,-11.74066742,B,D,275.2243078,-19.96,
LS V +40 4,12.27,157.2553134,-9.590767036,B,D,448.1089801,4.64,
HD 233799,9.05,158.627063,59.21855813,B,D,677.920141,23.72,
HD 233953,10.14,129.4387789,67.57238125,B,D,238.6463976,-19.87,
BD+44 1148,10.49,163.4448476,3.804099709,B,D,1037.99045,20.1280649,
LS V +49 20,11.7,159.2006352,5.963378521,B,D,736.1601885,8.08,
LS V +51 22,10.85,156.8399502,6.025622473,B,D,233.5302772,20.26,
LS V +45 21,9.24,161.901067,3.60556939,B,D,1613.163413,-26.95,
HD 285097,10.9,181.7725063,-14.56548641,B,D,182.1958241,17.3245,
HD 280321,10.85,169.1198748,-4.387794371,B,D,1740.644038,-0.844845,
LS V +33 4,12.4,169.7993489,-6.378957883,B,D,462.7701421,13.3,
LS V +30 32,11.41,180.3144885,4.604002324,B,D,3668.378577,51.0611,
Cl VDB 1 42,13.95,208.5592706,-1.737371248,B,D,1993.223042,-24.49004566,
Cl VDB 1 41,13.73,208.559515,-1.733689704,B,D,1760.56338,54.63417562,
BD+01 1441,10.39,210.2638171,-2.30287742,B,D,4752.851711,173.95,
